channel_0idx,label_1idx,close_mean_env,open_mean_env,diff_close_minus_open,cohens_d,anatomy_call,is_canonical
0,F1,0.0411025172727944,0.04092770583702895,0.00017481143576545538,0.012148489320380235,flexor,True
1,F2,0.04452106831044515,0.04433174421106875,0.0001893240993764006,0.01071391131326129,flexor,False
2,F3,0.05061262845807674,0.043952931123927,0.006659697334149742,0.34677171508943977,flexor,False
3,F4,0.05997567470850944,0.047467667964442226,0.012508006744067213,0.4974656061210637,flexor,False
4,F5,0.05219083626965203,0.06071340089978803,-0.008522564630136002,-0.4337690021520927,extensor,True
5,F6,0.05823153789604728,0.0876563228887268,-0.029424784992679517,-1.0822006470482384,extensor,False
6,F7,0.05987819188540182,0.074768123545031,-0.01488993165962918,-0.6056776781959746,extensor,False
7,F8,0.04243470301909542,0.04861184406845868,-0.006177141049363261,-0.4306758984894001,extensor,False
8,F9,0.04433917167042036,0.0437319794980166,0.0006071921724037643,0.04068450961093803,flexor,False
9,F10,0.045980343932679794,0.043765477000065715,0.002214866932614079,0.1380447457139408,flexor,True
10,F11,0.05147465107909441,0.04601872143502791,0.0054559296440665,0.30300164873401053,flexor,False
11,F12,0.06257772718179355,0.04962511104564329,0.012952616136150265,0.5171223265705271,flexor,False
12,F13,0.054850516506826735,0.06416176757649648,-0.009311251069669749,-0.46540407736750944,extensor,False
13,F14,0.06275149255089615,0.09096703594212965,-0.0282155433912335,-1.1383739024448687,extensor,True
14,F15,0.05971587165590826,0.07739263708093973,-0.017676765425031465,-0.8892890192360802,extensor,False
15,F16,0.04565779078363869,0.05405462284424402,-0.008396832060605326,-0.5418549204679014,extensor,False
16,F17,0.004356149792374213,0.004363029870602082,-6.880078227868534e-06,-0.0034963115176993467,extensor,False
17,F18,0.027334284142035595,0.03484612741126543,-0.0075118432692298336,-0.907393601714672,extensor,False
18,F19,0.0256031866011629,0.0385309459857458,-0.0129277593845829,-1.6790234147241794,extensor,False
19,F20,0.02794058713037597,0.04490637061821538,-0.016965783487839413,-1.8253820389001845,extensor,False
20,F21,0.03810456471043666,0.06771175350646046,-0.029607188796023795,-1.6305988398469884,extensor,False
21,F22,0.03309148023375254,0.06343507714749015,-0.030343596913737614,-1.7265258619816328,extensor,False
22,F23,0.037033277276004424,0.05711833002247631,-0.020085052746471883,-1.3039141519617385,extensor,False
23,F24,0.004306586545781194,0.004317199754163048,-1.0613208381853902e-05,-0.005411664684247201,extensor,False
24,F25,0.11598732718624082,0.1159994058851106,-1.2078698869780191e-05,-2.6140800784073136e-05,extensor,False
25,F26,0.022934804754560934,0.027163147365478108,-0.004228342610917174,-0.5218119274616582,extensor,False
26,F27,0.0194386925295579,0.02869121305617497,-0.00925252052661707,-1.5065750049058342,extensor,False
27,F28,0.017778937293879808,0.028843444311565516,-0.011064507017685708,-1.6929815101524877,extensor,False
28,F29,0.021519112508454504,0.039145284560945966,-0.01762617205249146,-1.3955749322358837,extensor,False
29,F30,0.022373621894489576,0.059016189544680055,-0.03664256765019048,-2.3942376997840973,extensor,False
30,F31,0.02310103688768068,0.052363804132723735,-0.029262767245043054,-1.8975078210783274,extensor,False
31,F32,0.004343148936378245,0.004350752134479455,-7.603198101210039e-06,-0.00391731078857629,extensor,False
