participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,1200,25281,0.9842173964637475,0.9785885322952019,0.988370713183814,0.9836119152649009,0.004153316720066469,197.20072507858276,189.43163514137268,100.0,1200,random_stratified,0,0,42,True
participant11,1112202,1200,25281,0.9154701158973142,0.9104060856764726,0.9576361694553222,0.9642339017514621,0.042166053558007954,186.96365523338318,184.32275414466858,100.0,1200,random_stratified,0,0,42,True
participant2,1112202,1200,25281,0.7742177920177208,0.7369984827422008,0.9115541315612515,0.9153236161929214,0.13733633954353075,192.37277913093567,199.9546399116516,100.0,1200,random_stratified,0,0,42,True
