participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,seed,fast,calib_protocol
participant1,1112202,600,25881,0.9842741779683938,0.9793887668322094,0.9853174143193848,0.9811312959235332,0.0010432363509911,204.0325677394867,201.01865005493164,10.0,600,42,True,random_stratified
participant2,1112202,600,25881,0.7721108148835053,0.7356157640410119,0.8401143696147754,0.8543595409964126,0.06800355473127,201.0380961894989,198.4801669120789,10.0,600,42,True,random_stratified
participant11,1112202,600,25881,0.9147637262856922,0.9101750896554538,0.9345852169545226,0.9435350130622928,0.0198214906688303,201.2983479499817,201.02219319343567,10.0,600,42,True,random_stratified
participant22,1112202,600,25881,0.9211004211583788,0.9380151286965372,0.9405741663768789,0.95267587924361,0.0194737452184999,201.9998888969421,193.8257429599762,10.0,600,42,True,random_stratified
participant33,1112202,600,25881,0.9522815965380008,0.9567930384555298,0.9711371276225804,0.9742016542194158,0.0188555310845794,193.520898103714,190.4807021617889,10.0,600,42,True,random_stratified
participant43,1112202,600,25881,0.9346624937212628,0.950108432421758,0.9509678915034196,0.961738846603943,0.0163053977821567,191.0343520641327,191.68582034111023,10.0,600,42,True,random_stratified
