participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,600,25881,0.9842741779683938,0.9793136152395375,0.9850855840191647,0.9808728094686906,0.000811406050770902,192.45000100135803,189.47904992103577,10.0,600,trimmed_stratified,5187,477,42,True
participant11,1112202,600,25881,0.9146091727522121,0.9098986856011496,0.9371353502569453,0.9443531621513036,0.02252617750473318,190.4958848953247,188.2523639202118,10.0,600,trimmed_stratified,5187,370,42,True
participant2,1112202,600,25881,0.7719948997333952,0.7347990569386411,0.8436304625014489,0.8519822453518263,0.07163556276805372,192.99316382408142,189.15046906471252,10.0,600,trimmed_stratified,5187,1004,42,True
