participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,600,25881,0.9842741779683938,0.9793887668322094,0.9870561415710367,0.9817743963613754,0.002781963602642934,187.13692498207092,193.15135169029236,100.0,600,random_stratified,0,0,42,True
participant11,1112202,600,25881,0.9147637262856922,0.9101750896554538,0.9429697461458213,0.9504089398465809,0.02820601986012905,188.04956483840942,194.15766763687134,100.0,600,random_stratified,0,0,42,True
participant2,1112202,600,25881,0.7721108148835053,0.7356157640410119,0.8673930682740234,0.8789550589240448,0.0952822533905181,194.07421898841858,188.0472230911255,100.0,600,random_stratified,0,0,42,True
