participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,1200,25281,0.9842173964637475,0.9785885322952019,0.9864720541117835,0.9823184328079243,0.002254657648036007,196.62872290611267,189.9837989807129,10.0,1200,random_stratified,0,0,42,True
participant11,1112202,1200,25281,0.9154701158973142,0.9104060856764726,0.9464024366124758,0.955169969826705,0.03093232071516161,189.14839911460876,187.39721703529358,10.0,1200,random_stratified,0,0,42,True
participant2,1112202,1200,25281,0.7742177920177208,0.7369984827422008,0.8797120367074087,0.8914955835133388,0.10549424468968793,189.08334064483643,184.9368588924408,10.0,1200,random_stratified,0,0,42,True
