participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,seed,fast
participant2,1112202,600,25881,0.7721108148835053,0.7356157640410119,0.8401143696147754,0.8543595409964126,0.06800355473127007,201.0380961894989,198.48016691207886,10.0,600,42,True
participant11,1112202,600,25881,0.9147637262856922,0.9101750896554538,0.9345852169545226,0.9435350130622928,0.01982149066883032,201.2983479499817,201.02219319343567,10.0,600,42,True
participant22,1112202,600,25881,0.9211004211583788,0.9380151286965371,0.9405741663768787,0.95267587924361,0.019473745218499983,201.99988889694214,193.8257429599762,10.0,600,42,True
participant33,1112202,600,25881,0.9522815965380008,0.9567930384555298,0.9711371276225803,0.9742016542194158,0.01885553108457949,193.520898103714,190.48070216178894,10.0,600,42,True
participant43,1112202,600,25881,0.9346624937212628,0.950108432421758,0.9509678915034195,0.961738846603943,0.016305397782156783,191.0343520641327,191.68582034111023,10.0,600,42,True
