participant,n_train_windows,n_calib_windows,n_eval_windows,acc_no_cal,f1_no_cal,acc_with_cal,f1_with_cal,delta_acc,fit_time_s_no_cal,fit_time_s_with_cal,calib_weight,calib_n_windows_target,calib_protocol,n_dropped_onset,n_dropped_outlier,seed,fast
participant1,1112202,600,25881,0.9842741779683938,0.9793887668322094,0.9854719678528651,0.9811736661117253,0.0011977898844712787,183.34333086013794,188.6970658302307,30.0,600,random_stratified,0,0,42,True
participant11,1112202,600,25881,0.9147637262856922,0.9101750896554538,0.9375990108573857,0.9450067253225413,0.02283528457169348,192.879536151886,185.63425302505493,30.0,600,random_stratified,0,0,42,True
participant2,1112202,600,25881,0.7721108148835053,0.7356157640410119,0.8525559290599282,0.8670115265297954,0.08044511417642286,185.1484501361847,192.7085998058319,30.0,600,random_stratified,0,0,42,True
